#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
126989  -----   -----   Sherpa                llnunujj_SS                          Sample_ww_SS_sherpa
147193  -----   -----   Sherpa                Sherpa_lnlnjj_WWjj_EW6               Sample_ww2j_sherpa
147194  -----   -----   Sherpa                Sherpa_lllnjj_WZjj_EW6               Sample_wz_sherpa

147196  -----   -----   UNKNOWN_GEN           Sherpa_lllljj_ZZjj_EW6               Sample_zz_powheg_nosusy

157814  -----   -----   Sherpa                Sherpa_VVtoeeqq                      Sample_vv_sherpa
157815  -----   -----   Sherpa                Sherpa_VVtomumuqq                    Sample_vv_sherpa
157816  -----   -----   Sherpa                Sherpa_VVtotautauqq                  Sample_vv_sherpa

169471  -----   -----   gg2WW3.1.2            gg->WpWm->eenunu                     Sample_ggww_2012
169472  -----   -----   gg2WW3.1.2            gg->WpWm->emununu                    Sample_ggww_2012
169473  -----   -----   gg2WW3.1.2            gg->WpWm->etaununu                   Sample_ggww_2012
169474  -----   -----   gg2WW3.1.2            gg->WpWm->mumununu                   Sample_ggww_2012
169475  -----   -----   gg2WW3.1.2            gg->WpWm->muenunu                    Sample_ggww_2012
169476  -----   -----   gg2WW3.1.2            gg->WpWm->mutaununu                  Sample_ggww_2012
169477  -----   -----   gg2WW3.1.2            gg->WpWm->tautaununu                 Sample_ggww_2012
169478  -----   -----   gg2WW3.1.2            gg->WpWm->tauenunu                   Sample_ggww_2012
169479  -----   -----   gg2WW3.1.2            gg->WpWm->taumununu                  Sample_ggww_2012

126928  -----   -----   Powheg+Pythia8        qq->WpWm->eenunu                     Sample_qqww_powheg
126929  -----   -----   Powheg+Pythia8        qq->WpWm->muenunu                    Sample_qqww_powheg
126930  -----   -----   Powheg+Pythia8        qq->WpWm->tauenunu                   Sample_qqww_powheg
126931  -----   -----   Powheg+Pythia8        qq->WpWm->emnunu                     Sample_qqww_powheg
126932  -----   -----   Powheg+Pythia8        qq->WpWm->mumununu                   Sample_qqww_powheg
126933  -----   -----   Powheg+Pythia8        qq->WpWm->taumununu                  Sample_qqww_powheg
126934  -----   -----   Powheg+Pythia8        qq->WpWm->etaununu                   Sample_qqww_powheg
126935  -----   -----   Powheg+Pythia8        qq->WpWm->mutaununu                  Sample_qqww_powheg
126936  -----   -----   Powheg+Pythia8        qq->WpWm->tautaununu                 Sample_qqww_powheg


185395  -----   -----   Sherpa                WW->lnulnu_SS                        Sample_ww_sherpa
126892  -----   -----   Sherpa                WW->lnulnu                           Sample_ww_sherpa
177997  -----   -----   Sherpa                WW->lnulnu(MassiveB/C)               NO_SUBGROUP

161985  -----   -----   Sherpa                WW->lnulnu+jj(6EWcoupling)           NO_SUBGROUP
105985  -----   -----   Herwig                InclusiveWW_1lepEF                   NO_SUBGROUP

129190  -----   -----   Pythia8               ppToJpsie3e3                         Sample_jpsi
129191  -----   -----   Pythia8               ppToJpsie3e8                         Sample_jpsi
129192  -----   -----   Pythia8               ppToJpsie3e13                        Sample_jpsi
129193  -----   -----   Pythia8B              bbToJpsie3e3                         Sample_jpsi
129194  -----   -----   Pythia8B              bbToJpsie3e8                         Sample_jpsi
129195  -----   -----   Pythia8B              bbToJpsie3e13                        Sample_jpsi
208001  -----   -----   Pythia8B              Jpsimu4mu4                           Sample_jpsi
208006  -----   -----   Pythia8B              JpsimumuZmumu                        Sample_jpsi
208007  -----   -----   Pythia8B              JpsimumuZee                          Sample_jpsi
208201  -----   -----   Pythia8B              bb_Jpsimu4mu4                        Sample_jpsi

129477  -----   -----   Powheg+PYthia8        W+Z->enuee                           Sample_wz_powheg
129478  -----   -----   Powheg+PYthia8        W+Z->enumumu                         Sample_wz_powheg
129479  -----   -----   Powheg+PYthia8        W+Z->enutautau                       Sample_wz_powheg
129480  -----   -----   Powheg+PYthia8        W+Z->munuee                          Sample_wz_powheg
129481  -----   -----   Powheg+PYthia8        W+Z->munumumu                        Sample_wz_powheg
129482  -----   -----   Powheg+PYthia8        W+Z->munutautau                      Sample_wz_powheg
129483  -----   -----   Powheg+PYthia8        W+Z->taunuee                         Sample_wz_powheg
129484  -----   -----   Powheg+PYthia8        W+Z->taunumumu                       Sample_wz_powheg
129485  -----   -----   Powheg+PYthia8        W+Z->taunutautau                     Sample_wz_powheg
129486  -----   -----   Powheg+PYthia8        W-Z->enuee                           Sample_wz_powheg
129487  -----   -----   Powheg+PYthia8        W-Z->enumumu                         Sample_wz_powheg
129488  -----   -----   Powheg+PYthia8        W-Z->enutautau                       Sample_wz_powheg
129489  -----   -----   Powheg+PYthia8        W-Z->munuee                          Sample_wz_powheg
129490  -----   -----   Powheg+PYthia8        W-Z->munumumu                        Sample_wz_powheg
129491  -----   -----   Powheg+PYthia8        W-Z->munutautau                      Sample_wz_powheg
129492  -----   -----   Powheg+PYthia8        W-Z->taunuee                         Sample_wz_powheg
129493  -----   -----   Powheg+PYthia8        W-Z->taunumumu                       Sample_wz_powheg
129494  -----   -----   Powheg+PYthia8        W-Z->taunutautau                     Sample_wz_powheg

178411  -----   -----   Powheg+PYthia8        ZZ_2e2tau                            Sample_zz_powheg
178412  -----   -----   Powheg+PYthia8        ZZ_2mu2tau                           Sample_zz_powheg
178413  -----   -----   Powheg+PYthia8        ZZ_4tau                              Sample_zz_powheg

126937  -----   -----   Powheg+Pythia8        ZZ->4e(mll>4GeV)                     Sample_zz_powheg
126938  -----   -----   Powheg+Pythia8        ZZ->2e2mu(mll>4GeV)                  Sample_zz_powheg
126939  -----   -----   Powheg+Pythia8        ZZ->2e2tau(mll>4GeV)                 Sample_zz_powheg
126940  -----   -----   Powheg+Pythia8        ZZ->4mu(mll>4GeV)                    Sample_zz_powheg
126941  -----   -----   Powheg+Pythia8        ZZ->2mu2tau(mll>4GeV)                Sample_zz_powheg
126942  -----   -----   Powheg+Pythia8        ZZ->4tau(mll>4GeV)                   Sample_zz_powheg
126949  -----   -----   Powheg+Pythia8        ZZ->eenunu(mll>4GeV)                 Sample_zz_powheg
126950  -----   -----   Powheg+Pythia8        ZZ->mumununu(mll>4GeV)               Sample_zz_powheg
126951  -----   -----   Powheg+Pythia8        ZZ->tautaununu(mll>4GeV)             Sample_zz_powheg
116600  -----   -----   gg2ZZ                 gg->ZZ->4lep(DF)_3lepEF(?)           Sample_zz_gg2zz

116601  -----   -----   gg2ZZ                 gg->ZZ->4e                           Sample_zz_gg2zz
116602  -----   -----   gg2ZZ                 gg->ZZ->4mu                          Sample_zz_gg2zz
