#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
212272  -----   -----   UNKNOWN_GEN           TEMPORARY_ROBSAMPLE_REPLACE          Sample_ttbar
167790  -----   -----   Sherpa_CT10           WenuMassiveCBPt500_CJetVetoBVeto       mc12_wjet_sherpa_e
180534  -----   -----   Sherpa_CT10           WenuMassiveCBPt40_70_BFilter           mc12_wjet_sherpa_e
180535  -----   -----   Sherpa_CT10           WenuMassiveCBPt40_70_CJetFilterBVeto   mc12_wjet_sherpa_e
180536  -----   -----   Sherpa_CT10           WenuMassiveCBPt40_70_CJetVetoBVeto     mc12_wjet_sherpa_e

167743  -----   -----   Sherpa_CT10           WmunuMassiveCBPt0_BFilter               mc12_wjet_sherpa_m
167744  -----   -----   Sherpa_CT10           WmunuMassiveCBPt0_CJetFilterBVeto       mc12_wjet_sherpa_m
167745  -----   -----   Sherpa_CT10           WmunuMassiveCBPt0_CJetVetoBVeto         mc12_wjet_sherpa_m
167764  -----   -----   Sherpa_CT10           WmunuMassiveCBPt70_140_BFilter          mc12_wjet_sherpa_m
167765  -----   -----   Sherpa_CT10           WmunuMassiveCBPt70_140_CJetFilterBVeto  mc12_wjet_sherpa_m
167766  -----   -----   Sherpa_CT10           WmunuMassiveCBPt70_140_CJetVetoBVeto    mc12_wjet_sherpa_m
167773  -----   -----   Sherpa_CT10           WmunuMassiveCBPt140_280_BFilter         mc12_wjet_sherpa_m
167774  -----   -----   Sherpa_CT10           WmunuMassiveCBPt140_280_CJetFilterBVeto mc12_wjet_sherpa_m
167775  -----   -----   Sherpa_CT10           WmunuMassiveCBPt140_280_CJetVetoBVeto   mc12_wjet_sherpa_m
167782  -----   -----   Sherpa_CT10           WmunuMassiveCBPt280_500_BFilter         mc12_wjet_sherpa_m
167783  -----   -----   Sherpa_CT10           WmunuMassiveCBPt280_500_CJetFilterBVeto mc12_wjet_sherpa_m
167784  -----   -----   Sherpa_CT10           WmunuMassiveCBPt280_500_CJetVetoBVeto   mc12_wjet_sherpa_m
167791  -----   -----   Sherpa_CT10           WmunuMassiveCBPt500_BFilter             mc12_wjet_sherpa_m
167792  -----   -----   Sherpa_CT10           WmunuMassiveCBPt500_CJetFilterBVeto     mc12_wjet_sherpa_m
167793  -----   -----   Sherpa_CT10           WmunuMassiveCBPt500_CJetVetoBVeto       mc12_wjet_sherpa_m
180537  -----   -----   Sherpa_CT10           WmunuMassiveCBPt40_70_BFilter           mc12_wjet_sherpa_m
