#################################################################################################################
## File for samples that are not used really anymore (but we want to keep the info around)
## Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################

204512  200.0   155.0   MadGraph              C1N2_200_0_N1_155_0_hadW_ISR80       Sample_c1n2_hadw_isr
204513  200.0   165.0   MadGraph              C1N2_200_0_N1_165_0_hadW_ISR80       Sample_c1n2_hadw_isr
204514  200.0   175.0   MadGraph              C1N2_200_0_N1_175_0_hadW_ISR80       Sample_c1n2_hadw_isr
204515  200.0   185.0   MadGraph              C1N2_200_0_N1_185_0_hadW_ISR80       Sample_c1n2_hadw_isr
204516  200.0   195.0   MadGraph              C1N2_200_0_N1_195_0_hadW_ISR80       Sample_c1n2_hadw_isr

204517  110.0    75.0   MadGraph              VBF_BW_C1C1_110_0_N1__75_slep        Sample_c1c1_vbf_bw
204518  110.0    85.0   MadGraph              VBF_BW_C1C1_110_0_N1__85_slep        Sample_c1c1_vbf_bw
204519  110.0    95.0   MadGraph              VBF_BW_C1C1_110_0_N1__95_slep        Sample_c1c1_vbf_bw
204520  110.0   105.0   MadGraph              VBF_BW_C1C1_110_0_N1_105_slep        Sample_c1c1_vbf_bw
204521  120.0    85.0   MadGraph              VBF_BW_C1C1_120_0_N1__85_slep        Sample_c1c1_vbf_bw
204522  120.0    95.0   MadGraph              VBF_BW_C1C1_120_0_N1__95_slep        Sample_c1c1_vbf_bw
204523  120.0   105.0   MadGraph              VBF_BW_C1C1_120_0_N1_105_slep        Sample_c1c1_vbf_bw
204524  120.0   115.0   MadGraph              VBF_BW_C1C1_120_0_N1_115_slep        Sample_c1c1_vbf_bw

204525  110.0    75.0   MadGraph              VBF_BH_C1C1_110_0_N1__75_slep        Sample_c1c1_vbf_bh
204526  110.0    85.0   MadGraph              VBF_BH_C1C1_110_0_N1__85_slep        Sample_c1c1_vbf_bh
204527  110.0    95.0   MadGraph              VBF_BH_C1C1_110_0_N1__95_slep        Sample_c1c1_vbf_bh
204528  110.0   105.0   MadGraph              VBF_BH_C1C1_110_0_N1_105_slep        Sample_c1c1_vbf_bh
204529  120.0    85.0   MadGraph              VBF_BH_C1C1_120_0_N1__85_slep        Sample_c1c1_vbf_bh
204530  120.0    95.0   MadGraph              VBF_BH_C1C1_120_0_N1__95_slep        Sample_c1c1_vbf_bh
